id;campus_name;campus_address;campus_state
1;eyeballs;Senegal Marino target;INACTIVE
2;hack Hecho;CSS Verde interface;ACTIVE
3;Distrito;Implementado Loan Ringgit;ACTIVE
4;maximize a;Violeta Mobilidad Ladrillo;INACTIVE
5;Enfocado equipos Innovador;Conjunto Loan;INACTIVE
6;withdrawal Mercados Dollar;Avon Sum infrastructures;ACTIVE
7;web-enabled COM protocolo;hacking;INACTIVE
8;innovadora infraestructura networks;Hogar monitor deposit;ACTIVE
9;Fantástico;overriding mission-critical Juguetería;ACTIVE
10;valor;concepto back-end;ACTIVE
