id;level_audit;log_name;message_audit;date_audit;customer_id
1;Práctico Rampa online;programming;Filipinas Violeta THX;2022-06-04T00:21:29;1
2;Armenian Pizza;1080p analizada La;Intercambiable solutions;2022-06-04T03:14:06;2
3;neural;navigating;Coche Inverso Salida;2022-06-04T00:38:43;2
4;cross-platform;Azul matrix;sinergia;2022-06-03T16:06:05;1
5;deposit;cross-platform;Patatas codificar JSON;2022-06-03T07:52:04;2
6;withdrawal enhance Interfaz;Productor alarm;Raton primary array;2022-06-03T06:49:26;1
7;Lek Especialista back;codificar;SQL;2022-06-03T08:46:23;2
8;Papelería Increible Ingeniería;hard Algodón;quantifying streamline calculate;2022-06-03T18:02:06;2
9;definición Berkshire Mercados;systems users;out-of-the-box;2022-06-03T07:57:38;1
10;SMS Guapa;Account Funcionario;Pelota invoice Plástico;2022-06-03T09:08:55;2
